職缺名稱,公司名稱,工作地點,薪資,學歷要求,工作性質,遠端工作,更新日期,應徵人數,工作描述,產業類別,職缺連結,公司連結
【台北】Python 軟體工程師(AI規劃、開發及應用),宏益科技服務股份有限公司,台北市內湖區,面議,大學、碩士、博士,不限,否,2026-03-09,6,"需求技術:  (一)具備UI操作介面自動化經驗(類[[[RPA]]]技術, 仿[[[RPA]]]技術) 1. 熟悉python 相關UI操作套件(如 playwright網頁自動化工具, 或其他網路常用套件) 2. 了解HTML與DOM的結構, 要能夠解析DOM 3.",電腦軟體服務業,https://www.104.com.tw/job/8y1tj,https://www.104.com.tw/company/1a2x6blz6b
【2026年遇見未來･富邦實習】學生職場實習_投資作業暨系統專案人員,富邦人壽保險股份有限公司(總公司),台北市松山區 敦化南路一段108號6樓,205 ~ 220 元,大學、碩士,兼職,否,2026-03-05,1,期間：2026年7月-2027年6月 地點：台北  實習內容： 1.學習外匯衍生性金融商品相關交易知識。 2.學習ISDA合約，CSA擔保品概念運用，實務操作及跟進系統專案規劃。 3.學習[[[RPA]]]概念，跨財務會計及投資管理報表整合運用，參與單位作業,人身保險業,https://www.104.com.tw/job/8yzqb,https://www.104.com.tw/company/ctztka0
財務部出納處副理,東森國際股份有限公司,台北市大安區 復興南路一段368號8樓,面議,大學、碩士、博士,不限,否,2026-02-23,10,1、	一般現金收付、匯款、轉帳、票據管理作業 2、	出納作業事項之審核 3、	負責資金管理及與銀行相關業務 4、	編製出納相關報表 5、	其他主管交辦事項,其他運輸輔助業,https://www.104.com.tw/job/8u9vd,https://www.104.com.tw/company/2a3l3tc
專案(產品)經理,鑄立科技股份有限公司,台北市中山區 復興北路164號12樓之1,"面議（底薪 70,000 起）",大學、碩士、博士,不限,否,2025-09-09,8,企業資源管理(ERP)與作業流程自動化([[[RPA]]])是上市/櫃公司在推動企業「數位轉型」不可或缺的解決方案，基於鑄立已累積的成功案例及台商回流所帶動的激增需求，希望能找到有經驗的資訊行業菁英與我們一同打拼，共創佳績！   1.協同團隊，收集客戶需求，,電腦軟體服務業,https://www.104.com.tw/job/7nylf,https://www.104.com.tw/company/1a2x6blylu
系統分析工程師,星星電力股份有限公司,台北市士林區,面議,大學,不限,否,2026-03-02,1,劃，依據法規、產業發展，將業務需求轉化為詳細的系統分析書、測試計畫與操作手冊等相關文件。 •協助開發Power BI、[[[RPA]]]...等數位化功能。 •進行系統設計，包含資料流程、UI/UX、以及模組化規劃。 •協助資料庫規劃與設計，熟悉Schema設,電力供應業,https://www.104.com.tw/job/8ys1n,https://www.104.com.tw/company/1a2x6bnemx
台積電駐廠儀控課助理工程師-龍潭科技園區,河筧工程有限公司,桃園市龍潭區 龍科,"面議（底薪 34,500 起）",專科、大學,不限,否,2026-03-09,5,1.資料庫、報表彙總 2.行政文書處理 3.會議報告內容追蹤整理 4.例行工程內容資料整理更新 5.現場巡檢 6.主管交辦事項  ※因在台積電廠內工作，故無法帶3C產品或可置入資料的產品進廠(EX:智慧型手機、隨身碟、APPLE WATCH或小米手環等)  ,空調水機電工程業,https://www.104.com.tw/job/8dviu,https://www.104.com.tw/company/cx87c2g
軟體業務專員,帝緯系統整合股份有限公司,台北市中正區 重慶南路一段57號9樓之13,面議,專科、大學、碩士,不限,是,2026-03-08,4,Demo）  4.AI技術概念敏感度(可培養)   • 對AI應用(如AIAgents、[[[RPA]]])有興趣  • 能與技術團隊配合，清楚傳達內外部需求,網際網路相關業,https://www.104.com.tw/job/7jp0b,https://www.104.com.tw/company/anxeu5k
【營運企劃】內部稽核人員(電腦稽核),富邦人壽保險股份有限公司(總公司),台北市松山區 敦化南路一段108號,面議,大學、碩士,兼職,否,2026-03-09,5,1.辦理電腦系統、應用系統、資訊安全及網路安全管理等稽核作業。 2.參與稽核業務數位化業務，如：建置及維運稽核作業管理系統、電腦稽核軟體Arbutus資料治理作業、[[[RPA]]]稽核作業自動化及RBIA相關系統建置及維護等。 3.評估資訊、資安部門各項作,人身保險業,https://www.104.com.tw/job/891g9,https://www.104.com.tw/company/ctztka0
【總公司】⾃動化⼯程師(人工智慧部),嘉里大榮物流股份有限公司,台北市中正區 新生南路1段50號14樓,面議,大學、碩士、博士,兼職,否,2026-03-11,11,景轉化為可執⾏之AI / [[[RPA]]] / ⾃動化應⽤⽅案，並負責規劃、設計與推動落地。 3. 跨部⾨協作與技術整合： 對內推動AI / [[[RPA]]] / ⾃動化⼯具應⽤與數位轉型⽂化；對外與 SI 供應商及技術夥伴密切合作，確保外部解決⽅案順利導⼊並符合實際,汽車貨運業,https://www.104.com.tw/job/8y650,https://www.104.com.tw/company/nfpc8rk
企業流程數位化專員（Enterprise Process Digitalization Specialist）,創控科技股份有限公司,新北市中和區 中正路866-8號17樓,面議,國中以下、高中職、專科、大學、碩士、博士,不限,否,2026-03-10,1,你是否熟悉 Power Automate、SharePoint，卻也想挑戰更多貼近現場流程的實作？ 你是否想參與真正讓辦公室與產線「同步升級」的數位化計畫？  我們正在尋找一位「企業流程數位化專員」，扮演串聯辦公作業與製造現場的數位關鍵角色，與經營層、製造、資訊、財會、業務等部門共同打造全流程透明與可追溯的工作環境。  【你將做的事】 ✔ 設計與建置 Power Automate + Forms 流程表單 ✔ 開發掃碼記錄系統 ✔ 整合 ERP / SharePoint / Excel 建立製造履歷追蹤 ✔ 幫助企業減少紙本作業、人工作業錯誤與流程斷點  【我們希望你】 ✅ 熟 Power Platform，有邏輯又能實作 ✅ 懂製造基本結構，願意走進現場 ✅ 喜歡設計工具給別人用，而不是只是報表維護員  【工作內容】 梳理內部辦公流程與產線組裝站作業，設計數位化改善方案 使用 Power Automate + Forms 建立請款、差旅、請購等簽核流程 設計 SharePoint / Excel 表單記錄產品過站、料件安裝與測試結果 建置 Power BI 儀表板，呈現履歷記錄、流程進度與品質追蹤數據 協助將掃碼器、表單與 ERP  欄位對應，建立資料串接結構 撰寫流程文件與內部 SOP，培訓各部門使用與維護自動化流程  【任職資格】 1.具備邏輯分析與流程拆解能力，喜歡從0到1設計解決方案 2.熟悉 Microsoft 365 工具，包括：Power Automate、Forms、SharePoint、Teams 3.具基本 HTML / JSON 或 Excel VBA / Power Query 能力者佳 4.有 ERP（如鼎新Workflow、EZFLOW、 SAP）或內部 IT 系統整合經驗者佳 5.對製造流程（工單、BOM、組裝站、測試流程）具基本認識 有實際導入過任一數位化流程 / 表單自動化作品集者佳 6.願意深入現場，與財會、人資、生產、生管部門協作  @ 應徵請附上實作經驗 / 表單作品或範例流程 加入我們，一起把「自動化不只是辦公室的事」變成現實。,精密儀器相關製造業,https://www.104.com.tw/job/8pu4v,https://www.104.com.tw/company/1a2x6bi270
台積電駐廠儀控課助理工程師-龍潭科技園區,河叡五金有限公司,桃園市龍潭區 龍科,"面議（底薪 34,500 起）",專科、大學,不限,否,2026-03-05,3,1.資料庫、報表彙總 2.行政文書處理 3.會議報告內容追蹤整理 4.例行工程內容資料整理更新 5.現場巡檢 6.主管交辦事項  ※因在台積電廠內工作，故無法帶3C產品或可置入資料的產品進廠(EX:智慧型手機、隨身碟、APPLE WATCH或小米手環等),空調水機電工程業,https://www.104.com.tw/job/8h057,https://www.104.com.tw/company/1a2x6bn3nt
數位服務中心-EMILY.RPA / SAP系統專員/助理專員-MB,美邦開發建設有限公司,台北市南港區 三重路19-13號7樓,面議,國中以下、高中職、專科、大學、碩士、博士,不限,否,2026-03-05,0,1. 改善各單位的作業流程簡化內部作業，協助提高使用者工作效率 2. EMILY.[[[RPA]]] / SAP ERP模組(FI/CO)維運與ABAP程式撰寫 3. 抗壓性高、EQ高、表達能力佳,不動產經營業,https://www.104.com.tw/job/8wdm1,https://www.104.com.tw/company/1a2x6bjx81
數位轉型發展中心【產品經理】,零壹科技股份有限公司_Zero One Tech,台北市內湖區 內湖路一段360巷8號10樓,面議,專科、大學、碩士、博士,兼職,否,2026-03-09,8,"負責國際知名的數位轉型軟體品牌之產品經營與管理（Tableau BI , [[[RPA]]] , Salesforce CRM , Martech and CDP、AI Agent、Text to SQL 之AI 產品導入），工作主要為下列內容：  ● 國外",電腦系統整合服務業,https://www.104.com.tw/job/8wzry,https://www.104.com.tw/company/e7ef0go
